question_id,question,option_a,option_b,option_c,option_d,concept,chapter,page
1064,قارن: 2/10 ___ 6/8,=,<,<,>,مقارنة الأعداد النسبية,1,C1-3
1065,قارن: 3/2 ___ 7/4,=,<,>,<,مقارنة الأعداد النسبية,1,C1-3
1066,قارن: 5/3 ___ 3/8,<,=,>,>,مقارنة الأعداد النسبية,1,C1-3
1067,قارن: 4/7 ___ 8/6,=,<,<,>,مقارنة الأعداد النسبية,1,C1-3
1068,قارن: 4/7 ___ 7/6,=,<,>,<,مقارنة الأعداد النسبية,1,C1-3
1069,قارن: 9/12 ___ 7/10,>,=,>,<,مقارنة الأعداد النسبية,1,C1-3
1070,قارن: 5/11 ___ 3/6,<,>,=,<,مقارنة الأعداد النسبية,1,C1-3
1071,قارن: 6/8 ___ 6/11,<,=,>,>,مقارنة الأعداد النسبية,1,C1-3
1072,قارن: 5/8 ___ 1/2,>,<,=,>,مقارنة الأعداد النسبية,1,C1-3
1073,قارن: 2/11 ___ 6/7,=,>,<,<,مقارنة الأعداد النسبية,1,C1-3
1074,قارن: 9/12 ___ 5/8,>,=,>,<,مقارنة الأعداد النسبية,1,C1-3
1075,قارن: 9/5 ___ 3/8,>,>,<,=,مقارنة الأعداد النسبية,1,C1-3
1076,احسب: 5/8 × 9/2,90/32,45/16,45/16,10/72,ضرب/قسمة الكسور,1,C1-4
1077,احسب: 7/7 ÷ 8/9,56/63,9/8,63/56,18/16,ضرب/قسمة الكسور,1,C1-4
1078,احسب: 9/9 × 3/3,1/1,27/27,2/2,27/27,ضرب/قسمة الكسور,1,C1-4
1079,احسب: 2/5 ÷ 5/5,4/10,10/25,2/5,10/25,ضرب/قسمة الكسور,1,C1-4
1080,احسب: 1/5 × 8/3,3/40,8/15,8/15,16/30,ضرب/قسمة الكسور,1,C1-4
1081,احسب: 7/9 ÷ 7/5,10/18,5/9,35/63,49/45,ضرب/قسمة الكسور,1,C1-4
1082,احسب: 2/8 × 4/4,8/32,8/32,1/4,2/8,ضرب/قسمة الكسور,1,C1-4
1083,احسب: 2/9 ÷ 3/9,2/3,4/6,6/81,18/27,ضرب/قسمة الكسور,1,C1-4
1084,احسب: 9/9 × 3/9,81/27,1/3,27/81,2/6,ضرب/قسمة الكسور,1,C1-4
1085,احسب: 5/10 ÷ 8/5,10/32,5/16,40/50,25/80,ضرب/قسمة الكسور,1,C1-4
1086,احسب: 5/5 × 5/7,25/35,5/7,10/14,35/25,ضرب/قسمة الكسور,1,C1-4
1087,احسب: 3/4 ÷ 4/8,6/4,3/2,24/16,12/32,ضرب/قسمة الكسور,1,C1-4
1088,احسب: 2/8 × 7/7,14/56,1/4,14/56,2/8,ضرب/قسمة الكسور,1,C1-4
1089,احسب: 4/8 ÷ 7/2,8/56,1/7,28/16,2/14,ضرب/قسمة الكسور,1,C1-4
1090,احسب: 6/6 × 7/8,48/42,7/8,14/16,42/48,ضرب/قسمة الكسور,1,C1-4
1091,احسب: 5/8 ÷ 8/2,5/32,10/64,40/16,10/64,ضرب/قسمة الكسور,1,C1-4
1092,احسب: 3/9 × 3/10,30/27,2/20,9/90,1/10,ضرب/قسمة الكسور,1,C1-4
1093,احسب: 2/8 ÷ 3/9,18/24,6/8,3/4,6/72,ضرب/قسمة الكسور,1,C1-4
1094,احسب: 7/7 × 4/9,4/9,8/18,28/63,63/28,ضرب/قسمة الكسور,1,C1-4
1095,احسب: 5/8 ÷ 5/3,25/24,15/40,3/8,6/16,ضرب/قسمة الكسور,1,C1-4
1096,احسب: 6/5 × 2/2,12/10,12/10,12/10,6/5,ضرب/قسمة الكسور,1,C1-4
1097,احسب: 1/4 ÷ 4/4,4/16,1/4,4/16,2/8,ضرب/قسمة الكسور,1,C1-4
1098,احسب: 4/9 × 5/7,40/126,20/63,28/45,20/63,ضرب/قسمة الكسور,1,C1-4
1099,احسب: 3/6 ÷ 2/2,1/2,6/12,2/4,6/12,ضرب/قسمة الكسور,1,C1-4
1100,احسب: 7/5 × 2/5,28/50,14/25,35/10,14/25,ضرب/قسمة الكسور,1,C1-4
